captured_at,generation_mode,api_id,model,duration,resolution,aspect_ratio,audio_setting,points,status
2026-08-26,text-to-video,200211,万相 3.0,-1,480P,adaptive,not_billed,900,ok
2026-08-26,text-to-video,200211,万相 3.0,-1,720P,adaptive,not_billed,1800,ok
2026-08-26,text-to-video,200211,万相 3.0,-1,1080P,adaptive,not_billed,3600,ok
2026-08-26,text-to-video,200211,万相 3.0,2,480P,adaptive,not_billed,60,ok
2026-08-26,text-to-video,200211,万相 3.0,2,720P,adaptive,not_billed,120,ok
2026-08-26,text-to-video,200211,万相 3.0,2,1080P,adaptive,not_billed,240,ok
2026-08-26,text-to-video,200211,万相 3.0,3,480P,adaptive,not_billed,90,ok
2026-08-26,text-to-video,200211,万相 3.0,3,720P,adaptive,not_billed,180,ok
2026-08-26,text-to-video,200211,万相 3.0,3,1080P,adaptive,not_billed,360,ok
2026-08-26,text-to-video,200211,万相 3.0,4,480P,adaptive,not_billed,120,ok
2026-08-26,text-to-video,200211,万相 3.0,4,720P,adaptive,not_billed,240,ok
2026-08-26,text-to-video,200211,万相 3.0,4,1080P,adaptive,not_billed,480,ok
2026-08-26,text-to-video,200211,万相 3.0,5,480P,adaptive,not_billed,150,ok
2026-08-26,text-to-video,200211,万相 3.0,5,720P,adaptive,not_billed,300,ok
2026-08-26,text-to-video,200211,万相 3.0,5,1080P,adaptive,not_billed,600,ok
2026-08-26,text-to-video,200211,万相 3.0,6,480P,adaptive,not_billed,180,ok
2026-08-26,text-to-video,200211,万相 3.0,6,720P,adaptive,not_billed,360,ok
2026-08-26,text-to-video,200211,万相 3.0,6,1080P,adaptive,not_billed,720,ok
2026-08-26,text-to-video,200211,万相 3.0,7,480P,adaptive,not_billed,210,ok
2026-08-26,text-to-video,200211,万相 3.0,7,720P,adaptive,not_billed,420,ok
2026-08-26,text-to-video,200211,万相 3.0,7,1080P,adaptive,not_billed,840,ok
2026-08-26,text-to-video,200211,万相 3.0,8,480P,adaptive,not_billed,240,ok
2026-08-26,text-to-video,200211,万相 3.0,8,720P,adaptive,not_billed,480,ok
2026-08-26,text-to-video,200211,万相 3.0,8,1080P,adaptive,not_billed,960,ok
2026-08-26,text-to-video,200211,万相 3.0,9,480P,adaptive,not_billed,270,ok
2026-08-26,text-to-video,200211,万相 3.0,9,720P,adaptive,not_billed,540,ok
2026-08-26,text-to-video,200211,万相 3.0,9,1080P,adaptive,not_billed,1080,ok
2026-08-26,text-to-video,200211,万相 3.0,10,480P,adaptive,not_billed,300,ok
2026-08-26,text-to-video,200211,万相 3.0,10,720P,adaptive,not_billed,600,ok
2026-08-26,text-to-video,200211,万相 3.0,10,1080P,adaptive,not_billed,1200,ok
2026-08-26,text-to-video,200211,万相 3.0,11,480P,adaptive,not_billed,330,ok
2026-08-26,text-to-video,200211,万相 3.0,11,720P,adaptive,not_billed,660,ok
2026-08-26,text-to-video,200211,万相 3.0,11,1080P,adaptive,not_billed,1320,ok
2026-08-26,text-to-video,200211,万相 3.0,12,480P,adaptive,not_billed,360,ok
2026-08-26,text-to-video,200211,万相 3.0,12,720P,adaptive,not_billed,720,ok
2026-08-26,text-to-video,200211,万相 3.0,12,1080P,adaptive,not_billed,1440,ok
2026-08-26,text-to-video,200211,万相 3.0,13,480P,adaptive,not_billed,390,ok
2026-08-26,text-to-video,200211,万相 3.0,13,720P,adaptive,not_billed,780,ok
2026-08-26,text-to-video,200211,万相 3.0,13,1080P,adaptive,not_billed,1560,ok
2026-08-26,text-to-video,200211,万相 3.0,14,480P,adaptive,not_billed,420,ok
2026-08-26,text-to-video,200211,万相 3.0,14,720P,adaptive,not_billed,840,ok
2026-08-26,text-to-video,200211,万相 3.0,14,1080P,adaptive,not_billed,1680,ok
2026-08-26,text-to-video,200211,万相 3.0,15,480P,adaptive,not_billed,450,ok
2026-08-26,text-to-video,200211,万相 3.0,15,720P,adaptive,not_billed,900,ok
2026-08-26,text-to-video,200211,万相 3.0,15,1080P,adaptive,not_billed,1800,ok
2026-08-26,text-to-video,200211,万相 3.0,16,480P,adaptive,not_billed,480,ok
2026-08-26,text-to-video,200211,万相 3.0,16,720P,adaptive,not_billed,960,ok
2026-08-26,text-to-video,200211,万相 3.0,16,1080P,adaptive,not_billed,1920,ok
2026-08-26,text-to-video,200211,万相 3.0,17,480P,adaptive,not_billed,510,ok
2026-08-26,text-to-video,200211,万相 3.0,17,720P,adaptive,not_billed,1020,ok
2026-08-26,text-to-video,200211,万相 3.0,17,1080P,adaptive,not_billed,2040,ok
2026-08-26,text-to-video,200211,万相 3.0,18,480P,adaptive,not_billed,540,ok
